English,hi,bn,te,mr,ta,gu,kn,ml,pa,or,as,ur,sa,ne,kok,mai,doi,bodo,sd,ks,mni,sat
Moderate-to-severe pain and disability; marked limitation.,मध्यम-से-गंभीर दर्द और विकलांगता; उल्लेखनीय सीमा।,মাঝারি থেকে তীব্র ব্যথা ও অক্ষমতা; উল্লেখযোগ্য সীমাবদ্ধতা।,"మధ్యస్థం నుండి తీవ్రమైన నొప్పి, వైకల్యం; గణనీయమైన పరిమితి.",मध्यम ते गंभीर वेदना आणि अपंगत्व; लक्षणीय मर्यादा.,மிதமான முதல் கடுமையான வலி மற்றும் இயலாமை; குறிப்பிடத்தக்க வரம்பு.,મધ્યમથી ગંભીર દુખાવો અને અપંગતા; નોંધપાત્ર મર્યાદા.,ಮಧ್ಯಮದಿಂದ ತೀವ್ರ ನೋವು ಮತ್ತು ಅಂಗವೈಕಲ್ಯ; ಗಮನಾರ್ಹ ಮಿತಿ.,മിതം മുതൽ കഠിനം വരെയുള്ള വേദനയും വൈകല്യവും; വ്യക്തമായ പരിമിതി.,ਦਰਮਿਆਨਾ-ਤੋਂ-ਗੰਭੀਰ ਦਰਦ ਅਤੇ ਅਪੰਗਤਾ; ਕਾਫ਼ੀ ਸੀਮਾ।,ମଧ୍ୟମରୁ ତୀବ୍ର ବେଦନା ଓ ଅକ୍ଷମତା; ଉଲ୍ଲେଖନୀୟ ସୀମା।,মধ্যমৰ পৰা গুৰুতৰ বিষ আৰু অক্ষমতা; স্পষ্ট সীমাবদ্ধতা।,درمیانہ تا شدید درد اور معذوری؛ نمایاں حدود۔,मध्यम-तीव्रपीडा विकलाङ्गता च; स्पष्टा सीमा।,मध्यमदेखि गम्भीर पीडा र अशक्तता; उल्लेखनीय सीमा।,,,,,,,,
More than 6 weeks,6 सप्ताह से अधिक,৬ সপ্তাহের বেশি,6 వారాల కంటే ఎక్కువ,6 आठवड्यांपेक्षा जास्त,6 வாரங்களுக்கு மேல்,6 અઠવાડિયાંથી વધુ,6 ವಾರಗಳಿಗಿಂತ ಹೆಚ್ಚು,6 ആഴ്ചയിൽ കൂടുതൽ,6 ਹਫ਼ਤਿਆਂ ਤੋਂ ਵੱਧ,୬ ସପ୍ତାହରୁ ଅଧିକ,৬ সপ্তাহতকৈ বেছি,6 ہفتوں سے زیادہ,६ सप्ताहेभ्यः अधिकम्,६ हप्ताभन्दा बढी,,,,,,,,
Name,नाम,নাম,పేరు,नाव,பெயர்,નામ,ಹೆಸರು,പേര്,ਨਾਮ,ନାମ,নাম,نام,नाम,नाम,,,,,,,,
Next step,अगला कदम,পরবর্তী ধাপ,తదుపరి దశ,पुढचे पाऊल,அடுத்த படி,આગળનું પગલું,ಮುಂದಿನ ಹಂತ,അടുത്ത ഘട്ടം,ਅਗਲਾ ਕਦਮ,ପରବର୍ତ୍ତୀ ସୋପାନ,পৰৱৰ্তী পদক্ষেপ,اگلا قدم,अग्रिमसोपानम्,अर्को चरण,,,,,,,,
No entry for Today yet.,आज के लिए अभी तक कोई प्रविष्टि नहीं।,আজকের জন্য এখনও কোনো এন্ট্রি নেই।,ఈరోజుకు ఇంకా నమోదు లేదు.,आजसाठी अद्याप कोणतीही नोंद नाही.,இன்றைக்கான பதிவு இன்னும் இல்லை.,આજ માટે હજુ કોઈ નોંધ નથી.,ಇಂದಿಗೆ ಇನ್ನೂ ಯಾವುದೇ ನಮೂದಿಲ್ಲ.,ഇന്നത്തേക്ക് ഇതുവരെ വിവരമൊന്നുമില്ല.,ਅੱਜ ਲਈ ਅਜੇ ਕੋਈ ਐਂਟਰੀ ਨਹੀਂ।,ଆଜି ପାଇଁ ଏ ପର୍ଯ୍ୟନ୍ତ କୌଣସି ଏଣ୍ଟ୍ରି ନାହିଁ।,আজিৰ বাবে এতিয়াও কোনো এণ্ট্ৰি নাই।,آج کے لیے ابھی کوئی اندراج نہیں۔,अद्यतनार्थं अद्यापि न काचित् प्रविष्टिः।,आजको लागि अहिलेसम्म कुनै प्रविष्टि छैन।,,,,,,,,
"No leg pain, or only occasional","पैर में कोई दर्द नहीं, या केवल कभी-कभी","পায়ে কোনো ব্যথা নেই, বা শুধু মাঝে মাঝে","కాలు నొప్పి లేదు, లేదా అప్పుడప్పుడు మాత్రమే","पायदुखी नाही, किंवा फक्त कधीकधी","கால் வலி இல்லை, அல்லது எப்போதாவது மட்டுமே","પગનો દુખાવો નથી, અથવા ફક્ત ક્યારેક","ಕಾಲು ನೋವಿಲ್ಲ, ಅಥವಾ ಅಪರೂಪಕ್ಕೆ ಮಾತ್ರ","കാൽവേദനയില്ല, അല്ലെങ്കിൽ ഇടയ്ക്കിടെ മാത്രം","ਲੱਤ ਵਿੱਚ ਕੋਈ ਦਰਦ ਨਹੀਂ, ਜਾਂ ਸਿਰਫ਼ ਕਦੇ-ਕਦੇ","କୌଣସି ଗୋଡ଼ ବେଦନା ନାହିଁ, କିମ୍ବା କେବଳ ବେଳେବେଳେ","ঠেঙত বিষ নাই, বা কেৱল মাজে মাজে",ٹانگ میں درد نہیں، یا صرف کبھی کبھار,"न पादपीडा, अथवा केवलं कदाचित्","खुट्टा दुखाइ छैन, वा कहिलेकाहीँ मात्र",,,,,,,,
None,कोई नहीं,কোনোটি নয়,ఏదీ లేదు,काहीही नाही,எதுவுமில்லை,કોઈ નહીં,ಯಾವುದೂ ಇಲ್ಲ,ഒന്നുമില്ല,ਕੋਈ ਨਹੀਂ,କିଛି ନାହିଁ,একো নাই,کوئی نہیں,न किमपि,कुनै पनि होइन,कांय ना,किछु नहि,कोई नेईं,मोनसेबो नंआ,ڪوبه نه,کہین نہٕ,অমত্তা নত্তে,ᱛᱤᱱᱟᱹᱜ ᱵᱟᱝ
Normal,सामान्य,স্বাভাবিক,సాధారణం,सामान्य,இயல்பானது,સામાન્ય,ಸಾಮಾನ್ಯ,സാധാരണം,ਆਮ,ସ୍ୱାଭାବିକ,স্বাভাৱিক,نارمل,सामान्यम्,सामान्य,सादारण,सामान्य,सधारन,सरासनस्रा,عام,عام,মাইপাক্পা,ᱥᱟᱫᱷᱟᱨᱚᱱ
Numbness around the saddle area,सैडल क्षेत्र के आसपास सुन्नपन,স্যাডল অঞ্চলের চারপাশে অসাড়তা,శాడిల్ ప్రాంతం చుట్టూ తిమ్మిరి,बैठकीच्या भागाभोवती बधिरता,சேணப் பகுதியைச் சுற்றி மரத்துப்போதல்,બેઠકના ભાગ આસપાસ બહેરાશ,ಕುಳಿತುಕೊಳ್ಳುವ ಭಾಗದ ಸುತ್ತ ಮರಗಟ್ಟುವಿಕೆ,കുണ്ടിയ്ക്കു ചുറ്റുമുള്ള മരവിപ്പ്,ਕਾਠੀ ਵਾਲੇ ਖੇਤਰ ਦੁਆਲੇ ਸੁੰਨਪਣ,ଅଣ୍ଟା ଅଞ୍ଚଳ ଚାରିପଟେ ଅବଶତା,ছেডল অঞ্চলৰ চাৰিওফালে অসাৰতা,کولہے کے درمیانی حصے کے گرد سُن پن,आसनप्रदेशे सुप्तता,गद्दीको क्षेत्र वरिपरि सुन्निएको,,,,,,,,
Occupation,व्यवसाय,পেশা,వృత్తి,व्यवसाय,தொழில்,વ્યવસાય,ಉದ್ಯೋಗ,തൊഴിൽ,ਪੇਸ਼ਾ,ବୃତ୍ତି,বৃত্তি,پیشہ,व्यवसायः,पेशा,,,,,,,,
Optional,वैकल्पिक,ঐচ্ছিক,ఐచ్ఛికం,ऐच्छिक,விருப்பத்தேர்வு,વૈકલ્પિક,ಐಚ್ಛಿಕ,ഐച്ഛികം,ਚੋਣਵਾਂ,ବୈକଳ୍ପିକ,ঐচ্ছিক,اختیاری,ऐच्छिकम्,ऐच्छिक,,,,,,,,
Overweight,अधिक वज़न,অতিরিক্ত ওজন,అధిక బరువు,अधिक वजन,அதிக எடை,વધુ વજન,ಅಧಿಕ ತೂಕ,അമിതഭാരം,ਵੱਧ ਭਾਰ,ଅଧିକ ଓଜନ,অতিৰিক্ত ওজন,زائد الوزن,अधिकभारः,अधिक तौल,,,,,,,,
Pain,दर्द,ব্যথা,నొప్పి,वेदना,வலி,દુખાવો,ನೋವು,വേദന,ਦਰਦ,ବେଦନା,বিষ,درد,पीडा,पीडा,,,,,,,,
Pain duration,दर्द की अवधि,ব্যথার সময়কাল,నొప్పి వ్యవధి,वेदनेचा कालावधी,வலியின் காலஅளவு,દુખાવાનો સમયગાળો,ನೋವಿನ ಅವಧಿ,വേദനയുടെ ദൈർഘ്യം,ਦਰਦ ਦੀ ਮਿਆਦ,ବେଦନା ଅବଧି,বিষৰ স্থিতিকাল,درد کا دورانیہ,पीडाकालावधिः,पीडाको अवधि,दुखीचो काळ,दर्दक अवधि,दर्द दी अवधि,,,,,
Pain or numbness down the leg?,पैर में दर्द या सुन्नपन?,পায়ের নিচ পর্যন্ত ব্যথা বা অসাড়তা?,కాలు కిందికి నొప్పి లేదా తిమ్మిరి?,पायात वेदना किंवा बधिरता?,கால் வழியே வலி அல்லது மரத்துப்போதல்?,પગમાં દુખાવો કે બહેરાશ?,ಕಾಲಿನ ಕೆಳಗೆ ನೋವು ಅಥವಾ ಮರಗಟ್ಟುವಿಕೆ?,കാലിലേക്ക് വേദനയോ മരവിപ്പോ?,ਲੱਤ ਵੱਲ ਦਰਦ ਜਾਂ ਸੁੰਨਪਣ?,ଗୋଡ଼ ତଳକୁ ବେଦନା କିମ୍ବା ଅବଶତା?,ঠেঙলৈ বিষ বা অসাৰতা?,ٹانگ میں درد یا سُن پن؟,पादे पीडा सुप्तता वा?,खुट्टातिर पीडा वा सुन्निएको?,,,,,,,,
"Pain/numbness in the leg, limits some activity","पैर में दर्द/सुन्नपन, कुछ गतिविधि को सीमित करता है","পায়ে ব্যথা/অসাড়তা, কিছু কার্যকলাপ সীমিত করে","కాలులో నొప్పి/తిమ్మిరి, కొన్ని కార్యకలాపాలను పరిమితం చేస్తుంది","पायात वेदना/बधिरता, काही क्रिया मर्यादित","காலில் வலி/மரத்துப்போதல், சில செயல்பாடுகளைக் கட்டுப்படுத்துகிறது","પગમાં દુખાવો/બહેરાશ, કેટલીક પ્રવૃત્તિ મર્યાદિત કરે છે","ಕಾಲಿನಲ್ಲಿ ನೋವು/ಮರಗಟ್ಟುವಿಕೆ, ಕೆಲವು ಚಟುವಟಿಕೆಯನ್ನು ಮಿತಿಗೊಳಿಸುತ್ತದೆ","കാലിൽ വേദന/മരവിപ്പ്, ചില പ്രവർത്തനങ്ങളെ പരിമിതപ്പെടുത്തുന്നു","ਲੱਤ ਵਿੱਚ ਦਰਦ/ਸੁੰਨਪਣ, ਕੁਝ ਕੰਮ ਨੂੰ ਸੀਮਤ ਕਰਦਾ ਹੈ","ଗୋଡ଼ରେ ବେଦନା/ଅବଶତା, କିଛି କାର୍ଯ୍ୟକୁ ସୀମିତ କରେ","ঠেঙত বিষ/অসাৰতা, কিছু কাম সীমিত কৰে",ٹانگ میں درد/سُن پن، کچھ سرگرمی کو محدود کرتا ہے,"पादे पीडा/सुप्तता, कतिपयक्रियां सीमयति","खुट्टामा पीडा/सुन्निएको, केही गतिविधि सीमित गर्छ",,,,,,,,
Partner discount code,पार्टनर छूट कोड,পার্টনার ছাড় কোড,భాగస్వామి తగ్గింపు కోడ్,भागीदार सवलत कोड,கூட்டாளர் தள்ளுபடிக் குறியீடு,પાર્ટનર ડિસ્કાઉન્ટ કોડ,ಪಾಲುದಾರ ರಿಯಾಯಿತಿ ಕೋಡ್,പങ്കാളി ഡിസ്കൗണ്ട് കോഡ്,ਪਾਰਟਨਰ ਛੋਟ ਕੋਡ,ସହଭାଗୀ ରିହାତି କୋଡ୍,অংশীদাৰ ৰেহাই ক'ড,پارٹنر ڈسکاؤنٹ کوڈ,सहभागिछूटसङ्केतः,साझेदार छुट कोड,,,,,,,,
Personalised video call,व्यक्तिगत वीडियो कॉल,ব্যক্তিগত ভিডিও কল,వ్యక్తిగతీకరించిన వీడియో కాల్,वैयक्तिक व्हिडिओ कॉल,தனிப்பயனாக்கப்பட்ட வீடியோ அழைப்பு,વ્યક્તિગત વિડિયો કોલ,ವೈಯಕ್ತಿಕ ವೀಡಿಯೊ ಕರೆ,വ്യക്തിഗത വീഡിയോ കോൾ,ਨਿੱਜੀ ਵੀਡੀਓ ਕਾਲ,ବ୍ୟକ୍ତିଗତ ଭିଡିଓ କଲ୍,ব্যক্তিগতকৃত ভিডিঅ' কল,ذاتی ویڈیو کال,व्यक्तिगतसचित्रसंलापः,व्यक्तिगत भिडियो कल,,,,,,,,
"Physiotherapy, lifestyle correction and evaluation.","फिज़ियोथेरेपी, जीवनशैली सुधार और मूल्यांकन।","ফিজিওথেরাপি, জীবনযাত্রা সংশোধন ও মূল্যায়ন।","ఫిజియోథెరపీ, జీవనశైలి సవరణ, మూల్యాంకనం.","फिजिओथेरपी, जीवनशैली सुधारणा आणि मूल्यांकन.","பிசியோதெரபி, வாழ்க்கைமுறை திருத்தம் மற்றும் மதிப்பீடு.","ફિઝિયોથેરપી, જીવનશૈલી સુધારણા અને મૂલ્યાંકન.","ಫಿಸಿಯೋಥೆರಪಿ, ಜೀವನಶೈಲಿ ತಿದ್ದುಪಡಿ ಮತ್ತು ಮೌಲ್ಯಮಾಪನ.","ഫിസിയോതെറാപ്പി, ജീവിതശൈലി തിരുത്തൽ, വിലയിരുത്തൽ.","ਫਿਜ਼ੀਓਥੈਰੇਪੀ, ਜੀਵਨ-ਸ਼ੈਲੀ ਸੁਧਾਰ ਅਤੇ ਮੁਲਾਂਕਣ।","ଫିଜିଓଥେରାପି, ଜୀବନଶୈଳୀ ସଂଶୋଧନ ଓ ମୂଲ୍ୟାଙ୍କନ।","ফিজিঅ'থেৰাপি, জীৱনশৈলী সংশোধন আৰু মূল্যায়ন।",فزیوتھراپی، طرزِ زندگی کی اصلاح اور تشخیص۔,"भौतिकचिकित्सा, जीवनशैलीसंशोधनम्, मूल्यांकनं च।","फिजियोथेरापी, जीवनशैली सुधार र मूल्यांकन।",,,,,,,,
Pick the face that matches your pain right now.,वह चेहरा चुनें जो अभी आपके दर्द से मेल खाता हो।,এখন আপনার ব্যথার সাথে মেলে এমন মুখটি বেছে নিন।,ప్రస్తుతం మీ నొప్పికి సరిపోయే ముఖాన్ని ఎంచుకోండి.,सध्याच्या तुमच्या वेदनेशी जुळणारा चेहरा निवडा.,இப்போது உங்கள் வலிக்குப் பொருந்தும் முகத்தைத் தேர்வுசெய்க.,અત્યારે તમારા દુખાવા સાથે મેળ ખાતો ચહેરો પસંદ કરો.,ಇದೀಗ ನಿಮ್ಮ ನೋವಿಗೆ ಹೊಂದುವ ಮುಖವನ್ನು ಆಯ್ಕೆಮಾಡಿ.,ഇപ്പോൾ നിങ്ങളുടെ വേദനയോട് ചേരുന്ന മുഖം തിരഞ്ഞെടുക്കുക.,ਉਹ ਚਿਹਰਾ ਚੁਣੋ ਜੋ ਇਸ ਵੇਲੇ ਤੁਹਾਡੇ ਦਰਦ ਨਾਲ ਮੇਲ ਖਾਂਦਾ ਹੈ।,ଆଜି ଆପଣଙ୍କ ବେଦନା ସହ ମେଳ ଖାଉଥିବା ମୁହଁ ବାଛନ୍ତୁ।,এতিয়া আপোনাৰ বিষৰ সৈতে মিলা মুখখন বাছনি কৰক।,وہ چہرہ منتخب کریں جو ابھی آپ کے درد سے مطابقت رکھتا ہو۔,सम्प्रति तव पीडानुरूपं मुखं वृणुताम्।,अहिले तपाईंको पीडासँग मिल्ने अनुहार छान्नुहोस्।,,,,,,,,
Posture cushion — 20% off,पोस्चर कुशन — 20% छूट,পশ্চার কুশন — ২০% ছাড়,భంగిమ కుషన్ — 20% తగ్గింపు,पवित्रा उशी — 20% सूट,தோரணை மெத்தை — 20% தள்ளுபடி,પોશ્ચર કુશન — 20% છૂટ,ಭಂಗಿ ಕುಶನ್ — 20% ರಿಯಾಯಿತಿ,പോസ്ചർ കുഷ്യൻ — 20% കിഴിവ്,ਪੋਸਚਰ ਕੁਸ਼ਨ — 20% ਛੋਟ,ଭଙ୍ଗୀ କୁସନ — ୨୦% ଛାଡ଼,ভংগী কুশ্যন — ২০% ৰেহাই,پوسچر کشن — 20% رعایت,आसनोपधानम् — २०% न्यूनम्,आसन कुसन — २०% छुट,,,,,,,,
Profile,प्रोफ़ाइल,প্রোফাইল,ప్రొఫైల్,प्रोफाइल,சுயவிவரம்,પ્રોફાઇલ,ಪ್ರೊಫೈಲ್,പ്രൊഫൈൽ,ਪ੍ਰੋਫਾਈਲ,ପ୍ରୋଫାଇଲ୍,প্ৰ'ফাইল,پروفائل,परिचयिका,प्रोफाइल,प्रोफायल,प्रोफाइल,प्रोफाइल,प्रोफाइल,پروفائل,پروفائل,প্রোফাইল,ᱯᱨᱚᱯᱷᱟᱭᱤᱞ
Profile · sleep · steps · activity,प्रोफ़ाइल · नींद · कदम · गतिविधि,প্রোফাইল · ঘুম · পদক্ষেপ · কার্যকলাপ,ప్రొఫైల్ · నిద్ర · అడుగులు · కార్యకలాపం,प्रोफाइल · झोप · पावले · क्रिया,சுயவிவரம் · தூக்கம் · அடிகள் · செயல்பாடு,પ્રોફાઇલ · ઊંઘ · પગલાં · પ્રવૃત્તિ,ಪ್ರೊಫೈಲ್ · ನಿದ್ರೆ · ಹೆಜ್ಜೆಗಳು · ಚಟುವಟಿಕೆ,പ്രൊഫൈൽ · ഉറക്കം · ചുവടുകൾ · പ്രവർത്തനം,ਪ੍ਰੋਫਾਈਲ · ਨੀਂਦ · ਕਦਮ · ਗਤੀਵਿਧੀ,ପ୍ରୋଫାଇଲ୍ · ଶୋଇବା · ପାଦଗଣନା · କାର୍ଯ୍ୟକଳାପ,প্ৰ'ফাইল · টোপনি · খোজ · কাৰ্যকলাপ,پروفائل · نیند · قدم · سرگرمی,परिचयिका · निद्रा · पदक्षेपाः · क्रिया,प्रोफाइल · निद्रा · पाइला · गतिविधि,,,,,,,,
Progressive leg weakness,बढ़ती हुई पैर की कमज़ोरी,পায়ে ক্রমবর্ধমান দুর্বলতা,క్రమంగా పెరుగుతున్న కాలు బలహీనత,प्रगतीशील पायातील अशक्तपणा,முன்னேறும் கால் பலவீனம்,પ્રગતિશીલ પગની નબળાઈ,ಪ್ರಗತಿಶೀಲ ಕಾಲಿನ ದೌರ್ಬಲ್ಯ,പുരോഗമിക്കുന്ന കാൽ ദുർബലത,ਵਧਦੀ ਲੱਤ ਦੀ ਕਮਜ਼ੋਰੀ,ପ୍ରଗତିଶୀଳ ଗୋଡ଼ ଦୁର୍ବଳତା,ক্ৰমবৰ্ধমান ঠেঙৰ দুৰ্বলতা,بڑھتی ہوئی ٹانگ کی کمزوری,प्रगच्छन्ती पाददुर्बलता,बढ्दो खुट्टा कमजोरी,,,,,,,,
Rate each activity — your disability index updates live.,प्रत्येक गतिविधि को रेट करें — आपका विकलांगता सूचकांक लाइव अपडेट होता है।,প্রতিটি কার্যকলাপ রেট করুন — আপনার অক্ষমতা সূচক সরাসরি আপডেট হয়।,ప్రతి కార్యకలాపాన్ని రేట్ చేయండి — మీ వైకల్య సూచిక ప్రత్యక్షంగా నవీకరించబడుతుంది.,प्रत्येक क्रियेला गुण द्या — तुमचा अपंगत्व निर्देशांक लगेच अद्यतनित होतो.,ஒவ்வொரு செயல்பாட்டையும் மதிப்பிடுங்கள் — உங்கள் இயலாமை குறியீடு நேரலையில் புதுப்பிக்கப்படும்.,દરેક પ્રવૃત્તિને રેટ કરો — તમારો અપંગતા આંક જીવંત રીતે અપડેટ થાય છે.,ಪ್ರತಿ ಚಟುವಟಿಕೆಯನ್ನು ರೇಟ್ ಮಾಡಿ — ನಿಮ್ಮ ಅಂಗವೈಕಲ್ಯ ಸೂಚ್ಯಂಕ ತಕ್ಷಣ ನವೀಕರಿಸುತ್ತದೆ.,ഓരോ പ്രവർത്തനവും റേറ്റ് ചെയ്യുക — നിങ്ങളുടെ വൈകല്യ സൂചിക തത്സമയം പുതുക്കുന്നു.,ਹਰ ਗਤੀਵਿਧੀ ਨੂੰ ਦਰਜਾ ਦਿਓ — ਤੁਹਾਡਾ ਅਪੰਗਤਾ ਸੂਚਕ ਅੰਕ ਸਿੱਧਾ ਅੱਪਡੇਟ ਹੁੰਦਾ ਹੈ।,ପ୍ରତ୍ୟେକ କାର୍ଯ୍ୟକୁ ମୂଲ୍ୟାୟନ କରନ୍ତୁ — ଆପଣଙ୍କ ଅକ୍ଷମତା ସୂଚକାଙ୍କ ଲାଇଭ୍ ଅପଡେଟ୍ ହୁଏ।,প্ৰতিটো কাৰ্যকলাপ মূল্যায়ন কৰক — আপোনাৰ অক্ষমতা সূচী লাইভ আপডেট হয়।,ہر سرگرمی کی درجہ بندی کریں — آپ کا معذوری انڈیکس فوری اپ ڈیٹ ہوتا ہے۔,प्रत्येकं क्रियां निर्धारयतु — तव विकलाङ्गतासूचकः सद्यः नवीक्रियते।,प्रत्येक गतिविधिलाई मूल्यांकन गर्नुहोस् — तपाईंको अशक्तता सूचकांक तुरुन्तै अद्यावधिक हुन्छ।,,,,,,,,
Recent major trauma,हाल ही में गंभीर चोट,সাম্প্রতিক বড় আঘাত,ఇటీవలి తీవ్రమైన గాయం,अलीकडील मोठा अपघात,சமீபத்திய பெரிய காயம்,તાજેતરની ગંભીર ઈજા,ಇತ್ತೀಚಿನ ಗಂಭೀರ ಆಘಾತ,അടുത്തിടെയുണ്ടായ ഗുരുതര പരിക്ക്,ਹਾਲ ਹੀ ਵਿੱਚ ਵੱਡੀ ਸੱਟ,ସମ୍ପ୍ରତି ଗୁରୁତର ଆଘାତ,শেহতীয়া গুৰুতৰ আঘাত,حالیہ بڑا حادثہ,अधुनातनं महदाघातम्,भर्खरैको ठूलो चोट,,,,,,,,
Recommended next step,अनुशंसित अगला कदम,প্রস্তাবিত পরবর্তী ধাপ,సిఫార్సు చేయబడిన తదుపరి దశ,शिफारस केलेले पुढचे पाऊल,பரிந்துரைக்கப்பட்ட அடுத்த படி,ભલામણ કરેલ આગળનું પગલું,ಶಿಫಾರಸು ಮಾಡಲಾದ ಮುಂದಿನ ಹಂತ,ശുപാർശ ചെയ്ത അടുത്ത ഘട്ടം,ਸਿਫ਼ਾਰਸ਼ ਕੀਤਾ ਅਗਲਾ ਕਦਮ,ସୁପାରିଶ କରାଯାଇଥିବା ପରବର୍ତ୍ତୀ ସୋପାନ,পৰামৰ্শিত পৰৱৰ্তী পদক্ষেপ,تجویز کردہ اگلا قدم,अनुशंसितम् अग्रिमसोपानम्,सिफारिस गरिएको अर्को चरण,,,,,,,,
Red flags,रेड फ्लैग,লাল সংকেত,ప్రమాద సంకేతాలు,धोक्याचे इशारे,எச்சரிக்கை அறிகுறிகள்,ચેતવણી-ચિહ્નો,ಕೆಂಪು ಗುರುತುಗಳು,അപായസൂചനകൾ,ਚੇਤਾਵਨੀ ਨਿਸ਼ਾਨੀਆਂ,ସତର୍କ ସଙ୍କେତ,ৰেড ফ্লেগ,خطرے کی علامات,रक्तध्वजचिह्नानि,रेड फ्ल्याग,,,,,,,,
Replay clip,क्लिप फिर से चलाएँ,ক্লিপ পুনরায় চালান,క్లిప్‌ను మళ్లీ ప్లే చేయండి,क्लिप पुन्हा पहा,கிளிப்பை மீண்டும் இயக்கு,ક્લિપ ફરી ચલાવો,ಕ್ಲಿಪ್ ಮರುಪ್ಲೇ ಮಾಡಿ,ക്ലിപ്പ് വീണ്ടും കാണുക,ਕਲਿੱਪ ਮੁੜ ਚਲਾਓ,କ୍ଲିପ୍ ପୁନଃ ଚଲାନ୍ତୁ,ক্লিপ পুনৰ চাওক,کلپ دوبارہ چلائیں,दृश्यं पुनः चालयतु,क्लिप दोहोऱ्याउनुहोस्,,,,,,,,
Research,रिसर्च,গবেষণা,పరిశోధన,संशोधन,ஆராய்ச்சி,સંશોધન,ಸಂಶೋಧನೆ,ഗവേഷണം,ਖੋਜ,ଅନୁସନ୍ଧାନ,গৱেষণা,تحقیق,अनुसन्धानम्,अनुसन्धान,,,,,,,,
Reset app,ऐप रीसेट करें,অ্যাপ রিসেট করুন,యాప్‌ను రీసెట్ చేయండి,अ‍ॅप रीसेट करा,ஆப்பை மீட்டமை,એપ રીસેટ કરો,ಆ್ಯಪ್ ಅನ್ನು ಮರುಹೊಂದಿಸಿ,ആപ്പ് റീസെറ്റ് ചെയ്യുക,ਐਪ ਰੀਸੈੱਟ ਕਰੋ,ଆପ୍ ରିସେଟ୍ କରନ୍ତୁ,এপ ৰিছেট কৰক,ایپ ری سیٹ کریں,अनुप्रयोगं पुनःस्थापयतु,एप रिसेट गर्नुहोस्,अॅप रिसेट करात,एप रिसेट करू,एप रिसेट करो,एप फिन थिक खालाम,ايپ ري سيٽ ڪريو,ایپ ری سیٹ کریو,এপ রিসেত তৌরো,ᱮᱯ ᱨᱤᱥᱮᱴ
Retake assessment,आकलन फिर से लें,মূল্যায়ন পুনরায় করুন,అంచనాను మళ్లీ తీసుకోండి,मूल्यांकन पुन्हा करा,மதிப்பீட்டை மீண்டும் எடு,મૂલ્યાંકન ફરી લો,ಮೌಲ್ಯಮಾಪನವನ್ನು ಮರುಪಡೆಯಿರಿ,വിലയിരുത്തൽ വീണ്ടും ചെയ്യുക,ਜਾਂਚ ਦੁਬਾਰਾ ਕਰੋ,ମୂଲ୍ୟାଙ୍କନ ପୁନଃ କରନ୍ତୁ,মূল্যায়ন পুনৰ লওক,تشخیص دوبارہ کریں,मूल्यांकनं पुनः कुरुताम्,मूल्यांकन फेरि लिनुहोस्,,,,,,,,
Rewards,इनाम,পুরস্কার,రివార్డులు,बक्षिसे,வெகுமதிகள்,ઇનામો,ಬಹುಮಾನಗಳು,റിവാർഡുകൾ,ਇਨਾਮ,ପୁରସ୍କାର,পুৰস্কাৰ,انعامات,पुरस्काराः,पुरस्कार,इनाम,पुरस्कार,इनाम,इनाम,انعام,انعام,মনা,ᱤᱱᱟᱢ
